League,Season,Teams,WIM,WIM_TB,WinPct_SD,Noll_Scully,HHI,WIM_Z,WIM_TB_Z,NS_Z
WIM Raw Data - A-League,2015,10,0.39705435651143256,0.46196232992790315,0.16546894743473092,1.7196037441913867,0.1191849288735102,1.1064523731760723,0.5602649213710154,1.0445798430910613
WIM Raw Data - A-League,2016,10,0.32665273200516687,0.3650005934471192,0.1337954953199144,1.3904435743076138,0.11183673469387757,-0.2851088627176413,-0.9903565501739388,-0.12782817100272664
WIM Raw Data - A-League,2017,10,0.41183513151905354,0.5147939143988169,0.16600692467418496,1.725194567663687,0.12049790837669624,1.3986097442782321,1.4051527320650339,1.0644933285125298
WIM Raw Data - A-League,2018,10,0.37603881108469206,0.43924362461614863,0.1646378575621694,1.7109668048817916,0.11694101508916323,0.6910582885635396,0.19694518782756204,1.013816653038673
WIM Raw Data - A-League,2019,10,0.39367745959293327,0.4607790088033761,0.1770044910422003,1.839484629917767,0.12032751868992522,1.0397044979338705,0.5413411354527625,1.4715735197922795
WIM Raw Data - A-League,2020,11,0.275149615059654,0.34285564792408163,0.11753661758022106,1.1986430132064798,0.09867674858223063,-1.3031214664281958,-1.3445006616608512,-0.8109865100631792
WIM Raw Data - A-League,2021,12,0.29060093905224504,0.40879720212140674,0.10930380067294827,1.1146844250824388,0.09017724736953606,-0.9977099981259191,-0.28995694661835314,-1.1100315664665172
WIM Raw Data - A-League,2022,12,0.3293542023892748,0.4146694920119489,0.11940984621921255,1.2177462719737568,0.09164033323757542,-0.23171149450627346,-0.1960467185025887,-0.7429442141743073
WIM Raw Data - A-League,2023,12,0.30680163926886184,0.38946566269083666,0.10191098138195287,1.0392921654319374,0.08948791000073052,-0.6774863303642129,-0.5991087956572838,-1.378564935634781
WIM Raw Data - A-League,2024,12,0.2757070445571735,0.3625268487138833,0.1245323518631606,1.2941781636782332,0.09244826659500135,-1.2921032933969363,-1.0299169153004137,-0.47070786675014037
WIM Raw Data - A-League,2025,13,0.3689740800599772,0.5361188153364564,0.14114627741865754,1.4394152456574307,0.08812800000000001,0.5514165415874611,1.7461826111970582,0.04659991965710565
WIM Raw Data - AFL,2000,1,0.46433789171005824,,0.0,0.0,1.0,4.1443519226424055,,-4.320377125234008
